dst_addr	prb_id	avg	ASN	Country	Name	NumIPs	type
92.38.184.82	6584	1.0160566667	AS35277	RO	LLHOST INC. SRL	1536	hosting
170.39.225.183	6584	101.6605946667	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.172.217.86	6584	184.43655	AS35277	RO	LLHOST INC. SRL	1536	hosting
212.86.79.78	6584	116.07393	AS35277	RO	LLHOST INC. SRL	1536	hosting
150.164.1.222	6584	224.8005806667	AS35277	RO	LLHOST INC. SRL	1536	hosting
197.239.73.59	6584	149.2041313333	AS35277	RO	LLHOST INC. SRL	1536	hosting
208.40.192.202	6584	115.6826206667	AS35277	RO	LLHOST INC. SRL	1536	hosting
34.94.50.16	6584	166.181589	AS35277	RO	LLHOST INC. SRL	1536	hosting
192.73.253.2	6584	84.466289	AS35277	RO	LLHOST INC. SRL	1536	hosting
87.195.79.82	6584	4.5642573333	AS35277	RO	LLHOST INC. SRL	1536	hosting
45.33.72.12	6584	73.6479906667	AS35277	RO	LLHOST INC. SRL	1536	hosting
46.165.195.19	6584	19.9024006667	AS35277	RO	LLHOST INC. SRL	1536	hosting
46.30.208.71	6584	21.2173176667	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.42.254.42	6584	102.9003923333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.206.239.122	6584	132.1960476667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.2.15.198	6584	107.4508526667	AS35277	RO	LLHOST INC. SRL	1536	hosting
37.252.244.78	6584	296.8496896667	AS35277	RO	LLHOST INC. SRL	1536	hosting
163.117.253.5	6584	27.0266716667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.225.160.239	6584	23.5163993333	AS35277	RO	LLHOST INC. SRL	1536	hosting
37.143.33.15	6584	2.2566406667	AS35277	RO	LLHOST INC. SRL	1536	hosting
178.218.68.22	6584	82.4826673333	AS35277	RO	LLHOST INC. SRL	1536	hosting
139.162.3.33	6584	167.6984873333	AS35277	RO	LLHOST INC. SRL	1536	hosting
46.183.219.225	6584	47.1495246667	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.40.111.147	6584	207.895406	AS35277	RO	LLHOST INC. SRL	1536	hosting
45.86.126.73	6584	26.1792093333	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.62.50.173	6584	285.580326	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.77.210.42	6584	44.7089196667	AS35277	RO	LLHOST INC. SRL	1536	hosting
85.162.162.14	6584	16.067596	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.130.254.243	6584	75.183681	AS35277	RO	LLHOST INC. SRL	1536	hosting
5.1.66.5	6584	33.5142593333	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.49.15.189	6584	188.5959143333	AS35277	RO	LLHOST INC. SRL	1536	hosting
81.211.195.45	6584	113.4635933333	AS35277	RO	LLHOST INC. SRL	1536	hosting
130.104.228.159	6584	6.0832856667	AS35277	RO	LLHOST INC. SRL	1536	hosting
5.158.64.189	6584	29.1480266667	AS35277	RO	LLHOST INC. SRL	1536	hosting
31.172.2.253	6584	4.972694	AS35277	RO	LLHOST INC. SRL	1536	hosting
200.1.122.55	6584	224.331476	AS35277	RO	LLHOST INC. SRL	1536	hosting
80.65.65.220	6584	32.1166666667	AS35277	RO	LLHOST INC. SRL	1536	hosting
77.220.233.1	6584	33.8500806667	AS35277	RO	LLHOST INC. SRL	1536	hosting
146.185.219.73	6584	64.5787096667	AS35277	RO	LLHOST INC. SRL	1536	hosting
46.23.125.254	6584	63.21353	AS35277	RO	LLHOST INC. SRL	1536	hosting
82.98.65.254	6584	33.374249	AS35277	RO	LLHOST INC. SRL	1536	hosting
74.119.118.17	6584	113.0432966667	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.130.66.103	6584	43.2384663333	AS35277	RO	LLHOST INC. SRL	1536	hosting
149.28.210.233	6584	146.7833866667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.28.221.65	6584	189.4224833333	AS35277	RO	LLHOST INC. SRL	1536	hosting
167.250.112.2	6584	169.1388773333	AS35277	RO	LLHOST INC. SRL	1536	hosting
143.255.248.149	6584	169.2433656667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.170.114.242	6584	31.019014	AS35277	RO	LLHOST INC. SRL	1536	hosting
128.100.103.40	6584	207.3318953333	AS35277	RO	LLHOST INC. SRL	1536	hosting
81.211.193.45	6584	98.0513146667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.122.254	6584	185.321229	AS35277	RO	LLHOST INC. SRL	1536	hosting
77.70.145.254	6584	15.581206	AS35277	RO	LLHOST INC. SRL	1536	hosting
148.163.220.5	6584	194.5833	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.171.255.2	6584	17.7429183333	AS35277	RO	LLHOST INC. SRL	1536	hosting
46.101.130.201	6584	12.7324226667	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.109.78.2	6584	1.3863193333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.34.2.114	6584	144.9550833333	AS35277	RO	LLHOST INC. SRL	1536	hosting
45.121.208.237	6584	229.7867896667	AS35277	RO	LLHOST INC. SRL	1536	hosting
52.69.122.97	6584	228.6938096667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.122.101.201	6584	12.8480313333	AS35277	RO	LLHOST INC. SRL	1536	hosting
87.201.194.242	6584	130.679575	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.19.59	6584	1.1567393333	AS35277	RO	LLHOST INC. SRL	1536	hosting
80.77.4.60	6584	124.4045376667	AS35277	RO	LLHOST INC. SRL	1536	hosting
170.247.95.81	6584	212.5772316667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.181.254	6584	252.6942926667	AS35277	RO	LLHOST INC. SRL	1536	hosting
89.106.219.238	6584	37.642996	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.222.217.85	6584	47.531565	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.30.70.33	6584	39.1287316667	AS35277	RO	LLHOST INC. SRL	1536	hosting
129.13.73.54	6584	29.2382103333	AS35277	RO	LLHOST INC. SRL	1536	hosting
5.202.182.6	6584	109.11855	AS35277	RO	LLHOST INC. SRL	1536	hosting
92.38.171.55	6584	38.598696	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.141.27.220	6584	22.908031	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.16.81.5	6584	13.4239806667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.2.186.195	6584	305.3392636667	AS35277	RO	LLHOST INC. SRL	1536	hosting
85.185.93.118	6584	144.3882503333	AS35277	RO	LLHOST INC. SRL	1536	hosting
109.70.107.25	6584	51.5388463333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.77.254	6584	1.1588326667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.19.60	6584	1.1662856667	AS35277	RO	LLHOST INC. SRL	1536	hosting
62.176.249.60	6584	40.0773533333	AS35277	RO	LLHOST INC. SRL	1536	hosting
80.93.87.194	6584	29.6128306667	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.10.53.7	6584	171.9391386667	AS35277	RO	LLHOST INC. SRL	1536	hosting
68.121.162.125	6584	148.674881	AS35277	RO	LLHOST INC. SRL	1536	hosting
200.61.6.78	6584	219.5311896667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.70.41.236	6584	12.7738373333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.119.254	6584	87.1687943333	AS35277	RO	LLHOST INC. SRL	1536	hosting
5.188.238.222	6584	207.8332783333	AS35277	RO	LLHOST INC. SRL	1536	hosting
80.67.184.90	6584	36.6042873333	AS35277	RO	LLHOST INC. SRL	1536	hosting
91.198.174.132	6584	0.6556753333	AS35277	RO	LLHOST INC. SRL	1536	hosting
89.236.171.11	6584	27.3735626667	AS35277	RO	LLHOST INC. SRL	1536	hosting
51.83.252.103	6584	44.0563986667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.53.254	6584	128.7199686667	AS35277	RO	LLHOST INC. SRL	1536	hosting
139.162.139.168	6584	20.1000206667	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.8.154.50	6584	74.4863343333	AS35277	RO	LLHOST INC. SRL	1536	hosting
41.79.249.228	6584	163.604307	AS35277	RO	LLHOST INC. SRL	1536	hosting
31.14.143.132	6584	46.7420066667	AS35277	RO	LLHOST INC. SRL	1536	hosting
138.204.7.245	6584	245.0509483333	AS35277	RO	LLHOST INC. SRL	1536	hosting
163.237.247.18	6584	103.422772	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.157.198.10	6584	160.0245243333	AS35277	RO	LLHOST INC. SRL	1536	hosting
