dst_addr	prb_id	avg	ASN	Country	Name	NumIPs	type
128.100.103.40	6584	207.3318953333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.122.254	6584	185.321229	AS35277	RO	LLHOST INC. SRL	1536	hosting
148.163.220.5	6584	194.5833	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.171.255.2	6584	17.7429183333	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.109.78.2	6584	1.3863193333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.34.2.114	6584	144.9550833333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.122.101.201	6584	12.8480313333	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.19.59	6584	1.1567393333	AS35277	RO	LLHOST INC. SRL	1536	hosting
170.247.95.81	6584	212.5772316667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.181.254	6584	252.6942926667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.222.217.85	6584	47.531565	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.30.70.33	6584	39.1287316667	AS35277	RO	LLHOST INC. SRL	1536	hosting
129.13.73.54	6584	29.2382103333	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.141.27.220	6584	22.908031	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.16.81.5	6584	13.4239806667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.2.186.195	6584	305.3392636667	AS35277	RO	LLHOST INC. SRL	1536	hosting
109.70.107.25	6584	51.5388463333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.77.254	6584	1.1588326667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.19.60	6584	1.1662856667	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.10.53.7	6584	171.9391386667	AS35277	RO	LLHOST INC. SRL	1536	hosting
200.61.6.78	6584	219.5311896667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.70.41.236	6584	12.7738373333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.119.254	6584	87.1687943333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.53.254	6584	128.7199686667	AS35277	RO	LLHOST INC. SRL	1536	hosting
139.162.139.168	6584	20.1000206667	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.8.154.50	6584	74.4863343333	AS35277	RO	LLHOST INC. SRL	1536	hosting
138.204.7.245	6584	245.0509483333	AS35277	RO	LLHOST INC. SRL	1536	hosting
163.237.247.18	6584	103.422772	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.157.198.10	6584	160.0245243333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.123.254	6584	160.5999953333	AS35277	RO	LLHOST INC. SRL	1536	hosting
108.59.192.190	6584	175.385557	AS35277	RO	LLHOST INC. SRL	1536	hosting
151.139.52.113	6584	111.8527733333	AS35277	RO	LLHOST INC. SRL	1536	hosting
206.162.189.131	6584	158.1007113333	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.172.218.22	6584	20.9695353333	AS35277	RO	LLHOST INC. SRL	1536	hosting
178.250.2.47	6584	1.1527653333	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.0.165	6584	1.32655	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.38.27.194	6584	14.036964	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.102.166.20	6584	165.4154493333	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.10.55.135	6584	181.204695	AS35277	RO	LLHOST INC. SRL	1536	hosting
144.202.18.114	6584	89.3898946667	AS35277	RO	LLHOST INC. SRL	1536	hosting
192.30.89.87	6584	154.7979236667	AS35277	RO	LLHOST INC. SRL	1536	hosting
180.149.98.146	6584	240.823644	AS35277	RO	LLHOST INC. SRL	1536	hosting
13.53.120.216	6584	21.3091233333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.38.254	6584	134.832226	AS35277	RO	LLHOST INC. SRL	1536	hosting
190.15.1.6	6584	182.6551516667	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.37.209.21	6584	23.3316756667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.78.49.100	6584	23.5078926667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.190.96.41	6584	41.959338	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.42.136.158	6584	20.9143146667	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.126.158.162	6584	40.3182356667	AS35277	RO	LLHOST INC. SRL	1536	hosting
212.3.202.246	6584	68.318165	AS35277	RO	LLHOST INC. SRL	1536	hosting
203.174.85.106	6584	179.039605	AS35277	RO	LLHOST INC. SRL	1536	hosting
109.68.162.233	6584	4.3037706667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.27.158.238	6584	26.481262	AS35277	RO	LLHOST INC. SRL	1536	hosting
102.163.98.10	6584	266.8239746667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.136.12.209	6584	2.6339443333	AS35277	RO	LLHOST INC. SRL	1536	hosting
104.225.102.122	6584	130.6138573333	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.0.165	6584	1.3232393333	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.76.65.78	6584	107.6407053333	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.138.218.50	6584	12.8927346667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.170.232.152	6584	236.4711673333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.36.180.55	6584	9.6327543333	AS35277	RO	LLHOST INC. SRL	1536	hosting
147.135.78.61	6584	154.3660366667	AS35277	RO	LLHOST INC. SRL	1536	hosting
176.119.210.244	6584	61.4551286667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.158.113.5	6584	41.0204593333	AS35277	RO	LLHOST INC. SRL	1536	hosting
2.58.52.152	6584	7.70926	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.183.254	6584	181.094231	AS35277	RO	LLHOST INC. SRL	1536	hosting
